sym,date,last,stop,zlsma,atr,adx,pdi,ndi,regime,pct200,advol,f5,f10,f21
GOOG,2026-05-13,399.04,369.72,416.6329,11.1839,48.5297,42.4327,13.907,PASS,37.9469,7460205134,-3.5435,-3.2378,-10.2446
NFLX,2026-03-31,96.15,89.57,101.194,2.4903,24.9874,28.5263,15.8417,DEEP-FAIL,-10.4544,3891745233,3.3697,12.0229,-2.6417
NFLX,2026-05-18,89.65,83.24,81.3545,2.4382,20.6793,18.9394,25.5582,DEEP-FAIL,-12.4792,3248850192,-2.1974,-7.0496,-14.155
UBER,2026-03-17,77.79,70.56,70.8421,2.7839,18.3905,25.29,16.0385,DEEP-FAIL,-11.2575,1564199076,-7.006,-7.5331,-1.684
UBER,2026-04-15,77.28,69.49,75.9715,2.45,14.3032,32.0517,20.2095,DEEP-FAIL,-10.4573,1109209728,-2.1998,-3.6361,-3.3514
UBER,2026-05-06,79.17,64.85,75.1238,2.4632,11.4093,32.9655,20.7428,REPAIR,-6.8158,1269414860,-5.6461,-5.7724,-10.6859
UBER,2026-06-01,73.77,68.05,72.915,2.2778,12.7365,21.7459,20.6461,DEEP-FAIL,-11.7591,1568224942,-5.0291,-1.2471,-1.5047
UBER,2026-06-15,72.85,64.8,68.5,2.2786,10.2344,26.0216,20.6805,DEEP-FAIL,-11.5984,1533430902,-4.3651,-0.9472,1.6335
PLTR,2026-04-17,146.39,135.35,152.27,7.9099,17.3107,27.669,25.4341,DEEP-FAIL,-10.8632,7467381392,-2.2543,-1.5848,-7.685
PLTR,2026-05-28,143.34,131.155,130.7636,5.3189,13.067,25.4363,21.8446,DEEP-FAIL,-11.4837,6031153866,-1.1441,-8.5531,-19.2828
SNOW,2026-04-20,150.44,136.08,141.787,9.1938,25.9768,23.4178,27.1933,DEEP-FAIL,-28.4988,1148660211,-4.1146,-4.1412,12.7027
SNOW,2026-05-07,153.72,133.64,132.0616,8.2547,19.8525,30.7694,26.1127,DEEP-FAIL,-25.2805,1302124705,-1.9256,7.6893,56.4208
PANW,2026-04-07,169.87,153.12,169.9605,7.1129,15.5542,27.6155,20.1102,REPAIR,-9.3606,1278459983,-4.8743,2.9964,8.1297
PANW,2026-06-15,284.54,262.96,306.3155,15.0071,40.4213,32.3697,16.8278,PASS,46.1064,2695019913,2.2405,19.8496,24.4078
CRWD,2026-04-07,105.8075,93.5176,103.3899,4.4866,19.0988,25.4404,21.9533,REPAIR,-8.6161,1443896272,-5.8455,6.233,10.5947
NET,2026-04-20,204.81,185.89,198.4868,14.21,18.1218,22.245,22.6824,PASS,1.2961,963777848,3.6863,9.4527,0.9375
NET,2026-05-19,206.73,190.23,195.2678,15.3031,15.0323,26.1473,27.8976,REPAIR,1.3074,983581358,1.2045,28.3462,8.3829
JPM,2026-03-24,292.4,279.1746,289.9055,7.0546,27.7302,18.1325,26.5766,REPAIR,-3.0417,3252250155,0.6019,5.3249,6.5971
JPM,2026-03-31,294.16,273.93,289.2835,6.7382,25.6614,21.6176,27.1456,REPAIR,-2.6363,3314635724,4.6947,4.0012,6.4829
JPM,2026-05-26,306.74,297.76,305.0123,6.2108,19.0883,19.6264,22.2544,PASS,0.3564,2451587058,-1.8843,1.943,9.2521
JPM,2026-06-04,310.89,290.05,294.126,6.1718,20.6514,25.3762,19.5772,PASS,1.6033,2739450682,0.8363,4.6093,9.1125
BAC,2026-03-25,48.75,46.81,46.9897,1.2886,31.8987,18.9584,27.7029,REPAIR,-3.9038,2295745325,1.0667,8.1231,6.7692
BAC,2026-04-30,53.46,51.05,56.2899,1.144,26.0627,30.4842,19.9354,PASS,4.0193,1753251145,-1.3281,-6.7527,-3.6476
BAC,2026-05-20,51.23,49.06,52.9436,1.1475,18.3052,24.3929,25.4904,REPAIR,-0.8608,1688176132,-0.8979,5.7388,11.9852
BAC,2026-06-04,54.17,50.31,50.1636,1.1039,13.7841,31.4647,16.7798,PASS,4.2823,2122161119,1.8276,3.7475,10.504
GS,2026-03-23,831.27,775.1,767.319,27.702,26.9318,22.1121,29.0669,REPAIR,3.9009,2191899552,-2.8475,3.9554,12.4592
GS,2026-05-13,955.42,908.66,1010.8896,22.2976,15.3037,25.6372,17.6675,PASS,13.7347,1745919938,2.7946,5.5421,11.2338
GS,2026-06-15,1076.17,1013.31,1038.8058,37.2627,26.8621,33.0093,16.0386,PASS,23.5065,2512398502,1.6977,-6.0214,1.7925
C,2026-03-23,111.64,105.07,107.8399,3.4067,21.1707,23.1065,24.9057,REPAIR,9.719,1847725563,-3.9144,4.9176,16.2039
C,2026-03-31,113.41,101.48,110.4414,3.6275,18.9147,23.5658,27.676,PASS,10.3687,1834801235,8.8881,16.1185,12.8472
C,2026-05-26,126.86,122.18,125.4084,3.2975,13.49,25.497,18.2581,PASS,15.3948,1402350883,3.4684,6.2037,14.2835
BX,2026-03-18,113.53,102.37,98.2251,5.627,46.6282,18.4347,29.7988,DEEP-FAIL,-25.4402,1210015240,-4.5362,0.7047,13.6968
